company_id,company,season,episode,episode_date,roster_source_url,evidence_level,research_stage
manscaped,Manscaped,10,4,2018-10-28,https://www.sharktankcompanies.com/seasons/10/episodes/4,secondary_roster,primary_roster_status_and_registry_research_pending
boom-boom,BoomBoom,10,4,2018-10-28,https://www.sharktankcompanies.com/seasons/10/episodes/4,secondary_roster,primary_roster_status_and_registry_research_pending
cave-shake,Cave Shake,10,4,2018-10-28,https://www.sharktankcompanies.com/seasons/10/episodes/4,secondary_roster,primary_roster_status_and_registry_research_pending
cheekd,Cheek'd,5,18,2014-02-28,https://simkl.com/tv/16051/shark-tank/season-5/episode-18/,secondary_roster,primary_roster_status_and_registry_research_pending
zipit-bedding,Zipit Bedding,5,18,2014-02-28,https://simkl.com/tv/16051/shark-tank/season-5/episode-18/,secondary_roster,primary_roster_status_and_registry_research_pending
bambooee,Bambooee,5,18,2014-02-28,https://simkl.com/tv/16051/shark-tank/season-5/episode-18/,secondary_roster,primary_roster_status_and_registry_research_pending
pashion,Pashion,12,14,2021-02-19,https://abc.com/news/8b4032b4-fff6-4edb-b3c8-0a9a4bbc3516/category/2887649,primary_roster,status_and_registry_research_pending
souper-cubes,Souper Cubes,12,14,2021-02-19,https://abc.com/news/8b4032b4-fff6-4edb-b3c8-0a9a4bbc3516/category/2887649,primary_roster,status_and_registry_research_pending
sienna-sauce,Sienna Sauce,12,14,2021-02-19,https://abc.com/news/8b4032b4-fff6-4edb-b3c8-0a9a4bbc3516/category/2887649,primary_roster,status_and_registry_research_pending
bakers-edge,Baker's Edge,5,29,2014-05-16,https://simkl.com/tv/16051/shark-tank/season-5/episode-29/,secondary_roster,primary_roster_status_and_registry_research_pending
foot-fairy,Foot Fairy,5,29,2014-05-16,https://simkl.com/tv/16051/shark-tank/season-5/episode-29/,secondary_roster,primary_roster_status_and_registry_research_pending
tie-not,Tie-Not,5,29,2014-05-16,https://simkl.com/tv/16051/shark-tank/season-5/episode-29/,secondary_roster,primary_roster_status_and_registry_research_pending
flamingo,FlaminGo,16,11,2025-02-07,https://abc.com/news/16d12461-b74b-40fc-9f6f-94f4d204570d/category/2887649,primary_roster,status_and_registry_research_pending
joyebells,Joyebells,16,11,2025-02-07,https://abc.com/news/16d12461-b74b-40fc-9f6f-94f4d204570d/category/2887649,primary_roster,status_and_registry_research_pending
lectec,Lectec,16,11,2025-02-07,https://abc.com/news/16d12461-b74b-40fc-9f6f-94f4d204570d/category/2887649,primary_roster,status_and_registry_research_pending
yum-crumbs,Yum Crumbs,15,7,2023-11-17,https://abc.com/news/8b09dd84-17d3-4dc5-83f6-7278f9c34bf9/category/2887649,primary_roster,status_and_registry_research_pending
rekkie,Rekkie,15,7,2023-11-17,https://abc.com/news/8b09dd84-17d3-4dc5-83f6-7278f9c34bf9/category/2887649,primary_roster,status_and_registry_research_pending
